# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
36,0,273,0
82,0,417,0
142,0,487,0
174,0,542,0
219,0,594,0
257,0,622,0
282,0,636,0
306,0,689,0
341,0,740,0
355,0,752,0
388,0,749,0
412,0,766,0
447,0,761,0
468,0,785,0
465,0,788,0
477,0,803,0
493,0,787,0
504,0,803,0
500,0,825,0
506,0,851,0
523,0,844,0
529,0,853,0
523,0,855,0
515,0,845,0
503,0,882,0
510,0,886,0
505,0,849,0
516,0,868,0
498,0,863,0
491,0,854,0
473,0,838,0
461,0,837,0
455,0,887,0
445,0,874,0
411,0,847,0
421,0,836,0
422,0,810,0
415,0,829,0
417,0,809,0
418,0,795,0
415,0,788,0
397,0,794,0
411,0,790,0
403,0,793,0
386,0,767,0
380,0,776,0
370,0,763,0
354,0,749,0
347,0,743,0
336,0,721,0
326,0,733,0
313,0,736,0
306,0,730,0
305,0,725,0
316,0,710,0
307,0,689,0
288,0,700,0
294,0,718,0
278,0,710,0
280,0,667,0
281,0,651,0
284,0,660,0
258,0,613,0
251,0,622,0
227,0,567,0
229,0,596,0
229,0,591,0
220,0,584,0
212,0,578,0
215,0,570,0
219,0,566,0
217,0,531,0
201,0,544,0
197,0,535,0
211,0,508,0
214,0,513,0
216,0,485,0
205,0,466,0
196,0,483,0
194,0,518,0
189,0,522,0
188,0,547,0
188,0,523,0
168,0,491,0
169,0,497,0
170,0,490,0
168,0,453,0
169,0,438,0
157,0,428,0
159,0,460,0
163,0,429,0
173,0,439,0
161,0,434,0
151,0,403,0
164,0,383,0
146,0,416,0
133,0,417,0
135,0,413,0
127,0,420,0
120,0,432,0
121,0,412,0
126,0,419,0
125,0,395,0
115,0,406,0
103,0,415,0
112,0,440,0
103,0,404,0
96,0,414,0
102,0,432,0
102,0,399,0
106,0,391,0
103,0,368,0
96,0,359,0
96,0,359,0
93,0,346,0
89,0,371,0
91,0,369,0
105,0,375,0
100,0,372,0
103,0,366,0
107,0,345,0
108,0,350,0
99,0,344,0
93,0,354,0
96,0,358,0
103,0,350,0
102,0,341,0
92,0,320,0
97,0,308,0
90,0,313,0
86,0,329,0
86,0,330,0
78,0,298,0
76,0,310,0
84,0,316,0
71,0,301,0
76,0,300,0
82,0,301,0
84,0,286,0
81,0,314,0
69,0,299,0
67,0,308,0
75,0,305,0
82,0,296,0
71,0,287,0
63,0,279,0
62,0,298,0
63,0,300,0
58,0,276,0
54,0,270,0
55,0,288,0
64,0,313,0
71,0,305,0
60,0,284,0
76,0,288,0
76,0,273,0
65,0,255,0
71,0,273,0
69,0,261,0
74,0,267,0
80,0,267,0
78,0,255,0
85,0,258,0
77,0,266,0
67,0,268,0
63,0,285,0
61,0,284,0
68,0,282,0
65,0,287,0
57,0,282,0
49,0,260,0
49,0,268,0
56,0,268,0
65,0,277,0
58,0,272,0
58,0,263,0
64,0,260,0
70,0,247,0
65,0,258,0
70,0,282,0
71,0,276,0
71,0,271,0
72,0,261,0
71,0,269,0
70,0,272,0
70,0,267,0
64,0,243,0
60,0,234,0
55,0,239,0
58,0,241,0
63,0,235,0
63,0,221,0
63,0,221,0
53,0,231,0
53,0,228,0
51,0,231,0
60,0,239,0
54,0,234,0
44,0,232,0
44,0,227,0
52,0,250,0
47,0,243,0
45,0,248,0
43,0,227,0
41,0,226,0
51,0,234,0
54,0,239,0
61,0,235,0
53,0,234,0
47,0,230,0
39,0,234,0
38,0,224,0
36,0,236,0
37,0,226,0
41,0,220,0
38,0,221,0
42,0,211,0
48,0,227,0
43,0,215,0
43,0,227,0
46,0,214,0
50,0,217,0
54,0,214,0
49,0,220,0
54,0,203,0
51,0,204,0
48,0,190,0
54,0,197,0
52,0,205,0
47,0,214,0
44,0,225,0
43,0,201,0
42,0,193,0
41,0,207,0
44,0,210,0
39,0,202,0
41,0,213,0
44,0,223,0
52,0,204,0
51,0,192,0
48,0,217,0
43,0,213,0
37,0,185,0
39,0,180,0
44,0,182,0
43,0,190,0
41,0,189,0
35,0,194,0
40,0,191,0
33,0,194,0
32,0,205,0
26,0,201,0
37,0,227,0
34,0,207,0
35,0,204,0
43,0,194,0
45,0,198,0
37,0,188,0
34,0,191,0
34,0,202,0
38,0,206,0
38,0,193,0
37,0,203,0
34,0,189,0
39,0,185,0
44,0,177,0
43,0,170,0
41,0,193,0
34,0,172,0
42,0,185,0
38,0,206,0
34,0,196,0
42,0,194,0
47,0,186,0
43,0,193,0
36,0,195,0
38,0,187,0
41,0,200,0
44,0,209,0
40,0,191,0
34,0,210,0
36,0,191,0
42,0,180,0
39,0,172,0
39,0,177,0
39,0,178,0
40,0,166,0
42,0,181,0
40,0,171,0
34,0,184,0
34,0,175,0
39,0,169,0
34,0,172,0
40,0,177,0
37,0,186,0
36,0,178,0
35,0,176,0
29,0,166,0
31,0,138,0
25,0,159,0
23,0,183,0
22,0,172,0
22,0,169,0
20,0,172,0
24,0,173,0
26,0,149,0
31,0,156,0
32,0,152,0
35,0,161,0
36,0,136,0
25,0,153,0
21,0,163,0
17,0,174,0
25,0,167,0
28,0,163,0
23,0,169,0
20,0,160,0
24,0,165,0
26,0,174,0
28,0,159,0
25,0,166,0
21,0,179,0
28,0,192,0
26,0,178,0
27,0,162,0
31,0,160,0
31,0,151,0
27,0,168,0
26,0,164,0
23,0,160,0
22,0,164,0
17,0,140,0
20,0,153,0
15,0,165,0
15,0,179,0
18,0,148,0
18,0,143,0
24,0,149,0
27,0,160,0
17,0,176,0
14,0,156,0
17,0,149,0
17,0,150,0
22,0,165,0
25,0,168,0
23,0,171,0
24,0,170,0
19,0,162,0
18,0,154,0
15,0,156,0
16,0,167,0
26,0,183,0
28,0,186,0
23,0,187,0
22,0,190,0
20,0,179,0
26,0,175,0
26,0,174,0
24,0,156,0
20,0,173,0
26,0,144,0
22,0,145,0
27,0,139,0
24,0,143,0
18,0,151,0
22,0,156,0
23,0,152,0
25,0,164,0
19,0,145,0
17,0,148,0
23,0,134,0
21,0,138,0
22,0,131,0
24,0,135,0
29,0,139,0
22,0,136,0
16,0,148,0
20,0,140,0
18,0,141,0
23,0,141,0
19,0,138,0
23,0,135,0
22,0,138,0
19,0,149,0
24,0,144,0
25,0,159,0
24,0,155,0
22,0,163,0
32,0,173,0
34,0,174,0
29,0,155,0
26,0,158,0
30,0,164,0
25,0,149,0
25,0,154,0
24,0,161,0
22,0,158,0
24,0,161,0
18,0,156,0
23,0,170,0
25,0,162,0
26,0,149,0
27,0,150,0
25,0,148,0
16,0,140,0
20,0,130,0
17,0,140,0
14,0,149,0
17,0,147,0
15,0,144,0
19,0,150,0
20,0,143,0
18,0,139,0
19,0,141,0
21,0,128,0
26,0,128,0
24,0,116,0
19,0,143,0
18,0,142,0
21,0,149,0
17,0,130,0
22,0,142,0
23,0,150,0
18,0,121,0
25,0,122,0
25,0,136,0
17,0,125,0
17,0,119,0
18,0,120,0
18,0,135,0
27,0,124,0
25,0,122,0
21,0,130,0
22,0,128,0
22,0,122,0
20,0,118,0
21,0,120,0
21,0,124,0
20,0,129,0
16,0,133,0
20,0,123,0
21,0,107,0
21,0,121,0
21,0,116,0
21,0,111,0
18,0,114,0
19,0,117,0
15,0,115,0
15,0,120,0
14,0,119,0
17,0,136,0
10,0,145,0
9,0,130,0
9,0,125,0
11,0,130,0
11,0,135,0
12,0,123,0
11,0,128,0
13,0,132,0
21,0,122,0
20,0,126,0
16,0,135,0
15,0,126,0
16,0,120,0
20,0,133,0
25,0,130,0
28,0,133,0
24,0,130,0
20,0,126,0
13,0,128,0
19,0,120,0
20,0,108,0
22,0,105,0
16,0,105,0
18,0,101,0
20,0,104,0
22,0,112,0
23,0,125,0
18,0,134,0
21,0,127,0
19,0,135,0
20,0,137,0
19,0,128,0
13,0,142,0
16,0,138,0
17,0,119,0
13,0,114,0
14,0,119,0
16,0,129,0
17,0,132,0
17,0,139,0
16,0,129,0
18,0,137,0
12,0,129,0
11,0,143,0
16,0,140,0
15,0,150,0
16,0,145,0
14,0,141,0
17,0,131,0
16,0,145,0
14,0,131,0
15,0,140,0
12,0,139,0
11,0,140,0
14,0,149,0
12,0,132,0
14,0,119,0
14,0,123,0
15,0,128,0
14,0,142,0
13,0,131,0
13,0,119,0
14,0,113,0
12,0,108,0
15,0,112,0
17,0,132,0
16,0,119,0
15,0,128,0
15,0,122,0
14,0,116,0
13,0,108,0
9,0,114,0
10,0,122,0
11,0,105,0
9,0,102,0
9,0,107,0
11,0,116,0
12,0,121,0
16,0,125,0
14,0,118,0
12,0,106,0
13,0,108,0
11,0,124,0
11,0,121,0
11,0,122,0
15,0,115,0
11,0,115,0
12,0,120,0
8,0,121,0
9,0,115,0
7,0,106,0
10,0,111,0
8,0,107,0
9,0,113,0
10,0,98,0
9,0,105,0
10,0,108,0
11,0,114,0
11,0,95,0
11,0,112,0
9,0,98,0
7,0,98,0
11,0,107,0
10,0,108,0
7,0,114,0
8,0,99,0
6,0,95,0
7,0,123,0
9,0,118,0
7,0,128,0
10,0,118,0
11,0,117,0
12,0,121,0
10,0,122,0
10,0,109,0
6,0,113,0
8,0,109,0
13,0,121,0
8,0,107,0
8,0,118,0
5,0,109,0
6,0,108,0
7,0,106,0
10,0,125,0
12,0,139,0
15,0,124,0
12,0,105,0
7,0,103,0
10,0,97,0
9,0,101,0
7,0,99,0
10,0,98,0
8,0,101,0
6,0,109,0
6,0,118,0
8,0,121,0
9,0,110,0
11,0,105,0
14,0,121,0
14,0,115,0
18,0,113,0
12,0,132,0
10,0,121,0
10,0,117,0
10,0,112,0
12,0,108,0
13,0,108,0
11,0,98,0
11,0,97,0
13,0,92,0
11,0,101,0
10,0,99,0
9,0,91,0
12,0,89,0
11,0,90,0
6,0,87,0
7,0,93,0
15,0,92,0
16,0,85,0
18,0,96,0
15,0,105,0
13,0,94,0
14,0,83,0
15,0,92,0
9,0,87,0
7,0,92,0
6,0,105,0
9,0,96,0
9,0,99,0
9,0,97,0
10,0,101,0
8,0,109,0
9,0,95,0
6,0,93,0
5,0,89,0
5,0,91,0
8,0,105,0
8,0,97,0
8,0,99,0
8,0,109,0
9,0,113,0
6,0,103,0
6,0,103,0
7,0,104,0
5,0,99,0
9,0,106,0
7,0,109,0
5,0,98,0
6,0,90,0
6,0,94,0
9,0,100,0
10,0,108,0
13,0,119,0
12,0,112,0
9,0,114,0
14,0,104,0
15,0,98,0
14,0,93,0
14,0,75,0
12,0,86,0
12,0,97,0
7,0,89,0
5,0,89,0
6,0,89,0
8,0,87,0
8,0,83,0
14,0,101,0
12,0,103,0
7,0,112,0
5,0,96,0
9,0,98,0
7,0,98,0
9,0,106,0
9,0,93,0
11,0,88,0
9,0,84,0
7,0,98,0
8,0,102,0
8,0,89,0
8,0,98,0
8,0,99,0
8,0,103,0
5,0,108,0
10,0,100,0
10,0,103,0
9,0,92,0
8,0,89,0
10,0,96,0
9,0,97,0
9,0,107,0
8,0,95,0
13,0,100,0
12,0,90,0
17,0,94,0
14,0,106,0
11,0,97,0
13,0,94,0
17,0,94,0
12,0,86,0
10,0,93,0
6,0,100,0
7,0,102,0
6,0,100,0
6,0,97,0
8,0,88,0
9,0,93,0
9,0,86,0
7,0,86,0
9,0,88,0
8,0,89,0
8,0,90,0
10,0,86,0
7,0,89,0
7,0,85,0
5,0,89,0
4,0,89,0
8,0,93,0
7,0,102,0
7,0,95,0
7,0,92,0
8,0,82,0
10,0,79,0
15,0,87,0
13,0,97,0
11,0,92,0
13,0,107,0
12,0,103,0
15,0,106,0
15,0,105,0
11,0,96,0
8,0,91,0
13,0,98,0
11,0,86,0
15,0,90,0
15,0,90,0
12,0,97,0
7,0,83,0
8,0,86,0
13,0,103,0
13,0,95,0
10,0,96,0
13,0,94,0
13,0,85,0
14,0,83,0
11,0,75,0
10,0,86,0
5,0,88,0
6,0,80,0
10,0,73,0
12,0,70,0
10,0,90,0
9,0,74,0
7,0,70,0
8,0,78,0
12,0,82,0
9,0,86,0
8,0,94,0
6,0,96,0
10,0,87,0
8,0,77,0
8,0,69,0
13,0,75,0
15,0,82,0
10,0,87,0
10,0,92,0
11,0,84,0
9,0,79,0
8,0,82,0
8,0,81,0
8,0,73,0
10,0,81,0
13,0,79,0
10,0,64,0
14,0,66,0
11,0,72,0
12,0,75,0
17,0,72,0
13,0,82,0
12,0,82,0
10,0,73,0
13,0,80,0
13,0,84,0
13,0,69,0
12,0,77,0
12,0,92,0
8,0,92,0
7,0,101,0
10,0,91,0
9,0,90,0
12,0,84,0
11,0,86,0
7,0,90,0
6,0,88,0
5,0,78,0
7,0,87,0
7,0,80,0
8,0,84,0
9,0,85,0
6,0,74,0
4,0,77,0
6,0,75,0
6,0,88,0
7,0,85,0
10,0,87,0
7,0,84,0
7,0,73,0
6,0,84,0
5,0,83,0
7,0,85,0
